Line Name		Type	Master	
GRE_REG			GR	S
GRE_REG_REP		GRE	S
GRE_ASK			GR	S
GRE_REP_ASK		GRR	S
GRE_REP_ON_Q		GRE	S
GRE_REP_ON_Q_LONG	GRE	S
GRE_REP_ON_Q_LONG_A	GRR	S
INV_M_ASK		INVM	M
INV_S_REP_Y_ASK_J	INVD	S
INV_S_REP_N_ASK_J	INVD	S
INV_M_REP_C		INVRM	M
INV_M_REP_C_SOME	INVRM	M
INV_M_REP_D		INVRM	M
INV_M_REP_D_MULT	INVRM	M
INV_S_ASK		INVS	S
INV_M_REP_Y_ASK_J	INVD	M
INV_M_REP_Y_Q_D		INVRM	M
INV_M_REP_Y_Q_D_MULT	INVRM	M
INV_S_REP_C		INVRS	S
INV_S_REP_D		INVRS	S
SURPRISE_ASK_NOONE	SUR	M
INV_SUR_S_ASK		INVD	S
INV_SUR_S_ASK_J		INVD	S
INV_BOTH_M_ASK_J	INVBM	M
INV_BOTH_S_REP_C	INVRS	S
INV_BOTH_S_REP_D	INVRS	S
INV_BOTH_S_ASK_J	INVBS	S
INV_S_ASK_J_EXIST	INVD	S2
COM_INV_S2_ASK_S_J_C	COM	S2
COM_INV_S2_ASK_S_J_D	COM	S2
COM_INV_S2_ASK_M_J	COM	S2
COM_GRE_IGN		COM	S2
